feature,feature_family,artifact_input,fitted_preprocessing,historical_source_contract,required_as_of_rule,row_level_source_timestamp_retained,historical_value_snapshot_complete,reconstruction_status,blocker
d15_strikeouts_pitching,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_strikeouts_pitching,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d7_walks_allowed,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d15_walks_allowed,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_walks_allowed,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d7_earned_runs,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d15_earned_runs,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
d30_earned_runs,pitcher_state,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_at_bats,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_hits,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_home_runs,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_strikeouts,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_walks,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_plate_appearances,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
bvp_total_bases,matchup_bvp,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__rolling_result_avg_7,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_hits,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_home_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_rbis,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_walks,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_hits,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_home_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_rbis,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_walks,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_hits,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_home_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_rbis,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_walks,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_total_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_total_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_total_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_hits_runs_rbis,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_hits_runs_rbis,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_hits_runs_rbis,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_stolen_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_stolen_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_stolen_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_strikeouts_batting,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_strikeouts_batting,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_strikeouts_batting,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_strikeouts_pitching,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_strikeouts_pitching,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_strikeouts_pitching,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_walks_allowed,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_walks_allowed,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_walks_allowed,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_earned_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_earned_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_earned_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d7_hits_allowed,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d15_hits_allowed,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__d30_hits_allowed,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_at_bats,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_hits,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_home_runs,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_rbi,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_strikeouts,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_walks,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_plate_appearances,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
isna__bvp_total_bases,missingness_indicator,True,median_imputation,player_derived_stats/model_training_props plus precomputed BvP according to trainer branch,source event/state strictly before governed player-game cutoff,False,False,BLOCKED,training source branch and historical as-of source row are not retained
