ordinal,exact_field_name,authoritative_upstream_source,construction_utility,construction_definition,strict_prior_cutoff_rule,fallback_policy,historical_persistence
11,away_expected_outs,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row","Mean outs from governed away starter workload base, clipped to [3,27].",Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Last 3 direct starts; else 1-2 direct; else last 20 team starts; else last 200 league starts; final synthetic 15 outs.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
12,home_workload_uncertainty_outs,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row",Population standard deviation of outs in governed home starter workload base; 4.5 when base has <=1 row.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Uses same workload tier as expected_outs; fixed 4.5 outs when tier has <=1 row.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
13,away_workload_uncertainty_outs,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_starter,feature_row",Population standard deviation of outs in governed away starter workload base; 4.5 when base has <=1 row.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Uses same workload tier as expected_outs; fixed 4.5 outs when tier has <=1 row.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
14,home_bullpen_ra9,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_official_relief_records,_bullpen,feature_row",27 * all governed strict-prior home reliever runs allowed / reliever outs.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Historical spine has governed league fallback; current live stale/incomplete history returns null state and fails context scoring.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
15,away_bullpen_ra9,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_official_relief_records,_bullpen,feature_row",27 * all governed strict-prior away reliever runs allowed / reliever outs.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Historical spine has governed league fallback; current live stale/incomplete history returns null state and fails context scoring.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
16,home_bullpen_likely_available_reliever_count,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_official_relief_records,_bullpen,feature_row","Unique home relievers used in prior 30 days minus unique home relievers used in prior 1 day, floored at zero.",Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
17,away_bullpen_likely_available_reliever_count,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_official_relief_records,_bullpen,feature_row","Unique away relievers used in prior 30 days minus unique away relievers used in prior 1 day, floored at zero.",Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
18,home_bullpen_recent_innings_burden,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_official_relief_records,_bullpen,feature_row",Home bullpen outs in prior 3 days divided by 3 (innings-equivalent burden).,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
19,away_bullpen_recent_innings_burden,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/pregame_bullpen_state.csv + governed boxscores/retained official-final live feeds,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_official_relief_records,_bullpen,feature_row",Away bullpen outs in prior 3 days divided by 3 (innings-equivalent burden).,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Historical governed fallback; current live stale/incomplete or absent team relief history returns null and fails context scoring.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
20,strict_prior_total_run_factor,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_park_factor.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,attach_context,feature_row","Venue mean adjusted-total ratio shrunk to 1.0 by weight n/(n+50), using only earlier official games.",Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Mathematical sparse shrinkage to 1.0; absent venue gives 1.0 but current complete-context admission requires direct regressed park history.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
21,park_history_depth,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_park_factor.csv,"backend/mlb/totals_predictions/live_context_bridge_v1.py::_historical_context,attach_context,feature_row",Count n of earlier governed official games at the venue used by park-factor shrinkage.,Only official rows with game date earlier than target game date; acquisition timestamp also <= prediction time for retained live bullpen supplements.,Zero with league park fallback; current complete-context admission requires direct regressed park history.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
22,game_number,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/canonical_totals_game_spine.csv + official MLB schedule,"backend/mlb/totals_predictions/live_context_bridge_v1.py::normalize_schedule,feature_row",Official schedule gameNumber (normally 1; doubleheader second game 2).,Official schedule state known before first pitch.,Official schedule value; schedule normalizer defaults missing value to 1.,Immutable 2026-08-06 totals feature spine CSVs; live prediction payload freezes feature-vector hash and context payload.
